element,type,confidence(%)
parish,Traditional Healer,62.93972
lci,Case Information,61.034943
patient mother’s name,Illness in Mother and Infant,76.60968
afp case coordinates,Case Information,65.085266
referring facility,Reporting Entity/Reporting Facility,77.31491
is the child admitted,Case Information,70.54308
date of admission,Patient History,66.9264
medical record number,Patient History,77.05303
fever at onset of paralysis,Illness in Mother and Infant,70.26299
paralysis progresses less than or equal to 3 days,Illness in Mother and Infant,63.534485
type of paralysis,Illness in Mother and Infant,64.80025
site of paralysis,History of the disease,65.53122
paralysis signs and symptoms*,Illness in Mother and Infant,65.97241
history of recent injections before the onset of paralysis,History of the disease,70.19948
total of number of injections received before onset of paralysis,Patient History,66.37103
date of injection,Patient History,67.98494
type of injection(name of drug or vaccines),Epidemiological/Exposure Factors/ Exposure/Source,66.87076
site(s) of the injection,Epidemiological/Exposure Factors/ Exposure/Source,69.3914
name of the facility giving the injection(s),Medical Encounters,71.261406
total number of polio vaccine doses,Epidemiological/Exposure Factors/ Exposure/Source,57.740253
at birth,History of the disease,64.700615
1st,Weekly Follow-up,59.65901
2nd,Weekly Follow-up,60.9345
3rd,Event,59.596928
4th,Event,62.006866
dose information,Clinical Information,77.48618
doses information,Clinical Information,74.295425
doses information,Clinical Information,74.295425
total ipv doses received through ri and/or sia,Clinical Information,63.02644
date of last piv dose received through ri or sia,Patient History,70.3878
specimen 1,Laboratory Data,71.96387
specimen 2,Laboratory Data,72.859314
was the afp case detected after 14 days from onset of paralysis,Illness in Mother and Infant,69.13615
person recording,Surveillance Use Only,68.2543
title,Event,66.99352
date,Event,67.06779
telephone,Call logs,68.34405
date of sample collection,Laboratory Data,64.87826
unique lab id,Laboratory Data,69.1839
patient prioritization level,Patient History,69.34955
bar code,Event,60.445168
serial number,Case Information,67.743935
where was the sample collected,Laboratory Data,78.68836
who is being tested,Diagnostic Testing,83.87695
"if traveler, was traveler going in or out of uganda",Public Health Issues,58.90863
if health worker reason for health care worker (hw) testing,Diagnostic Testing,73.501816
hw's facility,Reporting Entity/Reporting Facility,67.92903
if person is isolated/quarantined specify day of testing,Diagnostic Testing,73.17572
surname,Case Information,63.159615
first name,Case Information,61.800117
sex,Comments,66.737495
date of birth,Patient History,64.33852
or estimated age in years/months,Clinical Information,62.679733
nationality,Case Information,63.927753
nin or passport number (compulsory for travelers),Surveillance Use Only,59.05282
address,Partner Information,65.42753
patient phone number,Patient History,74.69976
patient next of kin,Clinical Information,72.16138
phone number,Partner Information,62.679733
for truck drivers vehicle number plate,Reporting Entity/Reporting Facility,61.213184
truck destination,Household Transmission,63.549984
vaccinated,Public Health Issues,66.57787
type,Event,63.36391
doses received,Clinical Information,70.207565
date of last dose,Patient History,70.83573
is/was patient symptomatic,Patient History,77.60079
date of onset of first symptom,History of the disease,77.5522
signs and symptoms,Diagnostic Testing,73.288
does patient have any known underlying conditions,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.63844
if yes specify the condition,Surveillance Use Only,58.35783
sample collected by,Laboratory Data,71.92894
collector’s facility,Reporting Entity/Reporting Facility,70.131775
phone,Call logs,66.341896
specimen type,Laboratory Data,73.57852
date of specimen collection,Laboratory Data,68.68269
collection time,Weekly Follow-up,62.13307
test requested,Diagnostic Testing,74.8204
was specimen referred,Laboratory Data,75.64763
tester’s name,Diagnostic Testing,73.14585
tester’s phone number,Diagnostic Testing,67.65464
tester’s facility,Diagnostic Testing,75.036766
test,Diagnostic Testing,76.970535
results,Comments,70.673355
date and time of results,Patient History,67.69321
tester’s signature,Diagnostic Testing,72.3778
remarks,Comments,89.654816
is an additional test required,Diagnostic Testing,74.054924
what test,Diagnostic Testing,82.24384
next date of testing,Diagnostic Testing,69.04468
facility name,Reporting Entity/Reporting Facility,72.36852
unique lab id,Laboratory Data,69.1839
serial number,Case Information,67.743935
patient surname,Patient History,82.66472
patient first name,Patient History,79.49503
tester’s phone number,Diagnostic Testing,67.65464
tester’s name,Diagnostic Testing,73.14585
tester’s facility,Diagnostic Testing,75.03676
tester’s signature,Diagnostic Testing,72.3778
specimen,Laboratory Data,67.43616
test,Diagnostic Testing,76.970535
results,Comments,70.673355
date and time of results,Patient History,67.693214
family name,Partner Information,63.489307
patient's name,Patient History,82.672485
title,Event,66.99352
date of birth,Patient History,64.33852
gender,Event,65.08886
country of birth,Case Information,62.051983
patient indigenous status,Traditional Healer,74.9954
residential address,Local Fields,65.4349
suburb/town,Local Fields,65.38542
state of territory,Local Fields,62.57962
postcode,Partner Information,62.375153
country,Community Investigation,62.057514
date of diagnosis,History of the disease,78.36922
is this the first time you have notified the diagnosis(es) for this patient to the ndld register,Patient History,73.62844
is the patient deceased,Patient History,74.420784
cancer,History of the disease,67.70612
chronic obstructive pulmonary disease,History of the disease,68.858116
pneumoconiosis,Illness in Mother and Infant,71.00338
if the patient has progressive massive fibrosis,Clinical Information,70.115685
small opacities - profusion,Laboratory Data,58.87978
large opacities - size,Laboratory Data,56.739117
type of inorganic dust,Epidemiological/Exposure Factors/ Exposure/Source,59.994263
total length of exposure,Epidemiological/Exposure Factors/ Exposure/Source,62.336235
time since last exposure,Patient History,62.47934
industry,Administrative,69.67813
occupational role,Administrative,71.14771
country,Community Investigation,62.057514
"if australia, specify territory*",Surveillance Use Only,58.32668
other comments regarding the diagnosis,Treatment/ Services referrals/ Case Diagnosis and Treatment,75.0093
family name,Partner Information,63.489307
patient's name,Patient History,82.672485
medical specialty,Medical Encounters,78.62577
name or organisation business or practice,Administrative,69.75257
postal address,Partner Information,66.07655
phone number,Partner Information,62.679733
fax number,Call logs,57.997288
email address,Partner Information,67.84187
signature,Comments,61.835636
date,Event,67.06779
last name,Case Information,66.35032
patient's name,Patient History,82.672485
date of birth,Patient History,64.33852
medicare or other healthcare identifier,Clinical Information,67.97778
sex,Comments,66.737495
residential address,Local Fields,65.4349
city,Event,65.335236
postcode,Partner Information,62.375153
patient phone number,Patient History,74.69976
tel mobile,Call logs,64.997696
parent/guardian/next of kin name and contact number,Partner Information,69.754776
is the case of aboriginal or torres strait islander origin,Case Information,70.362724
country of birth,Case Information,62.051983
year arrived in australia,Case Information,61.649906
interpreter required,Administrative,63.878296
occupation and/or school and/or child care attended,Patient History,66.84384
alive/deceased,Traditional Healer,61.16485
date of onset of illness,History of the disease,78.628334
signs and symptoms,Diagnostic Testing,73.288
case required hospitalisation for this illness,Illness in Mother and Infant,80.46063
patient admission date,Patient History,76.82675
discharged date,Patient History,65.21782
has the case had a positive test for any other mosquito borne disease before,Diagnostic Testing,69.087776
clinical comments,Clinical Information,85.700584
doctor/hospital/laboratory name,Medical Encounters,76.9871
medicare provider no.,Medical Encounters,67.97566
address,Partner Information,65.42753
city,Event,65.33524
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
fax,Administrative,64.17158
date,Event,67.06779
did the case travel outside the melbourne metropolitan area in the 3–21 days before becoming unwell with this illness (include travel within regional victoria),History of the disease,73.25719
did the case spend time in parklands (e.g. state or national parks) within melbourne in the 3–21 days before becoming unwell,Case Information,69.7971
case name,Case Information,86.188385
date of birth,Patient History,64.33852
notification id,Event,61.748676
public health unit,Public Health Issues,81.98477
outbreak id,History of the disease,68.920784
completed by,Weekly Follow-up,65.381294
date sent to nocs,Patient History,61.910652
telephone,Call logs,68.34405
fax,Administrative,64.17158
date phu notified,Weekly Follow-up,64.46096
date initial response,Patient History,61.494507
notifier,Surveillance Use Only,63.93756
organisation,Administrative,77.156654
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
treating dr.,Medical Encounters,81.23405
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
ur no.,Comments,62.24035
name,Case Information,63.117123
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
name of parent/carer,Illness in Mother and Infant,67.13575
patient indigenous status,Traditional Healer,74.9954
english preferred language,Administrative,60.834717
ethnicity,Community Investigation,64.273766
permanent address,Administrative,64.753845
postcode,Partner Information,62.375153
home telephone,Call logs,67.45069
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
patient occupation,Medical Encounters,80.32312
work telephone,Call logs,68.84387
temporary address in queensland (if different from permanent address),Local Fields,59.538937
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
general practitioner doctor,Medical Encounters,73.65199
address,Partner Information,65.42753
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
onset of symptoms,History of the disease,70.501434
date of first consultation,Patient History,73.686745
is this a relapse of a previous infection,Illness in Mother and Infant,71.43882
signs and symptoms,Diagnostic Testing,73.288
antibiotics,Medical Encounters,69.19172
steroid treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,69.355865
hospitalised,Medical Encounters,71.58719
medical complications,Medical Encounters,76.86787
outcome,Event,70.561615
laboratory,Laboratory Data,83.77396
collection date,Patient History,64.59167
type of specimen,Laboratory Data,75.355804
test type,Diagnostic Testing,77.33923
organism identified,Potential Vibrio vehicles,65.30309
has there been any previous brucellosis testing,Diagnostic Testing,70.34654
date (onset date-60 days to onset date-5 days),Epidemiological/Exposure Factors/ Exposure/Source,64.21325
patient’s occupation,Clinical Information,77.631424
work place name,Administrative,67.22862
work section (i.e boning room),Administrative,68.67811
workplace address,Administrative,68.43075
work telephone,Call logs,68.843864
did the patient have contact with,Medical Encounters,82.691666
consumed unpasteurised milk or milk products,Nutritious / Food consumption,71.35801
has the patient imported an animal product from overseas in the last 2 months,Patient History,71.307304
was the case interstate or overseas in the last 2 months,Case Information,66.1214
date of travel,Patient History,64.63077
places visited,Patient History,63.292534
during this time was there contact with confirmed/suspected case(s),Case Information,76.54167
are there other contacts who have had the same exposure,Medical Encounters,69.52797
if the infection is workplace acquired has the occupational health and safety officer been advised,Epidemiological/Exposure Factors/ Exposure/Source,70.422775
have they been advised of preventive measures and symptoms,Treatment/ Services referrals/ Case Diagnosis and Treatment,75.73874
would you like assistance from the public health unit in this area,Public Health Issues,79.55574
place acquired,Local Fields,66.83021
notification decision,Weekly Follow-up,64.578476
comments,Comments,99.999985
case name,Case Information,86.188385
date of birth,Patient History,64.33853
notification id,Event,61.748684
public health unit,Public Health Issues,81.98477
outbreak id,History of the disease,68.920784
completed by,Weekly Follow-up,65.381294
date sent to nocs,Patient History,61.910652
telephone,Call logs,68.34405
fax,Administrative,64.17158
notification of,Weekly Follow-up,66.28634
date phu notified,Weekly Follow-up,64.46096
date initial response,Patient History,61.494507
notifier,Surveillance Use Only,63.93756
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
treating dr.,Medical Encounters,81.23405
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
ur no.,Comments,62.24035
name,Case Information,63.117123
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
name of parent/carer,Illness in Mother and Infant,67.13575
patient indigenous status,Traditional Healer,74.9954
english preferred language,Administrative,60.834717
ethnicity,Community Investigation,64.273766
permanent address,Administrative,64.753845
postcode,Partner Information,62.375153
home telephone,Call logs,67.45069
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
patient occupation,Medical Encounters,80.32312
work telephone,Call logs,68.84387
temporary address in queensland (if different from permanent address),Local Fields,59.538937
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
general practitioner doctor,Medical Encounters,73.65199
address,Partner Information,65.42753
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
onset of symptom,History of the disease,70.87243
date of first consultation,Patient History,73.686745
signs and symptoms,Diagnostic Testing,73.288
hemorrhagic,Medical Encounters,65.66311
neuroinvasive,Clinical Information,66.3601
treatment commenced,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.95218
hospitalised,Medical Encounters,71.58719
medical complications,Medical Encounters,76.86787
laboratory,Laboratory Data,83.77396
first collection date,Patient History,61.42771
lab no.,Laboratory Data,67.650894
virus specific igm,Potential Vibrio vehicles,65.92042
igg (fourfold or greater rise) results,Diagnostic Testing,64.75252
isolation of virus,Potential Vibrio vehicles,68.66394
detection of virus by pcr,Diagnostic Testing,70.610275
detection of virus in tissue/liver histopathology/immunohistochemistry(yellow fever),Diagnostic Testing,67.07828
lab results,Laboratory Data,85.62805
dose 1,Clinical Information,60.87651
dose 2,Clinical Information,59.520634
dose 3,Event,58.168156
vaccination status,Maternal and Neonatal (e.g. Listeria forms),65.86921
source of vaccination history,History of the disease,76.46832
notification decision,Weekly Follow-up,64.578476
outcome,Event,70.561615
exposure period,Epidemiological/Exposure Factors/ Exposure/Source,68.172905
was the case interstate or overseas 10 days prior to fever onset,Illness in Mother and Infant,71.40585
during this time was there contact with confirmed/suspected case(s),Case Information,76.54167
place acquired,Local Fields,66.83021
comments,Comments,99.999985
home address,Partner Information,65.6852
work address,Administrative,66.25416
other significant address,Partner Information,66.029396
viraemic period,Potential Vibrio vehicles,68.33
home address,Partner Information,65.6852
other main address,Partner Information,62.3612
work during this period,Weekly Follow-up,61.418324
contact details*,Partner Information,74.75122
precautions discussed,Medical Encounters,69.74309
fact sheet sent,Case Information,65.14049
contact management required,Partner Information,70.53222
comments,Comments,99.999985
case name,Case Information,86.188385
date of birth,Patient History,64.33853
public health unit,Public Health Issues,81.98477
completed by,Weekly Follow-up,65.381294
telephone,Call logs,68.34405
fax,Administrative,64.17158
date phu notified,Weekly Follow-up,64.46096
date initial response,Patient History,61.494507
notifier,Surveillance Use Only,63.93756
organisation,Administrative,77.156654
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
treating dr.,Medical Encounters,81.23405
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
ur no.,Comments,62.24035
name,Case Information,63.117123
date of birth,Patient History,64.33853
age,Comments,59.58798
sex,Comments,66.737495
name of parent/carer,Illness in Mother and Infant,67.13575
patient indigenous status,Traditional Healer,74.9954
english preferred language,Administrative,60.834717
ethnicity,Community Investigation,64.273766
permanent address,Administrative,64.753845
postcode,Partner Information,62.375153
patient phone number,Patient History,74.69976
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
patient occupation,Medical Encounters,80.32312
work telephone,Call logs,68.84387
temporary address in queensland (if different from permanent address),Local Fields,59.538937
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
mob,Community Investigation,66.57889
patient e-mail,Clinical Information,77.26684
general practitioner doctor,Medical Encounters,73.65199
address,Partner Information,65.42753
postcode,Partner Information,62.375153
telephone,Call logs,68.34405
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
onset date,History of the disease,68.44378
signs and symptoms,Diagnostic Testing,73.288
impetigo/skin lesions,History of the disease,65.57278
sore throat,Illness in Mother and Infant,65.752235
scabies,Public Health Issues,65.50916
hospitalised,Medical Encounters,71.58719
medical complications,Medical Encounters,76.86787
outcome,Event,70.561615
laboratory,Laboratory Data,83.77396
first collection date,Patient History,61.42771
haematuria,Medical Encounters,64.008865
serum,Laboratory Data,65.298965
exposure period to group a streptococci,Maternal and Neonatal (e.g. Listeria forms),67.22452
number of other recent skin infection cases in household,Illness in Mother and Infant,70.504364
did case attend any of the following during their exposure period,Case Information,79.321266
during this time was there contact with confirmed/suspected case(s),Case Information,76.54167
infectious period for group a streptococci,Maternal and Neonatal (e.g. Listeria forms),65.67578
antibiotics treatment commenced,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.57864
scabies treatment of case,Treatment/ Services referrals/ Case Diagnosis and Treatment,65.86267
scabies treatment of household/s,Potential Vibrio vehicles,62.09153
details,Comments,68.74019
if stayed in additional household,Household Transmission,59.69708
did case attend any of the following during their infectious period,Case Information,75.780815
was the case excluded from childcare/ school/ other high risk setting,Case Information,79.10698
notification decision,Weekly Follow-up,64.578476
part of an outbreak,History of the disease,69.4615
outbreak identifier,Epidemiological/Exposure Factors/ Exposure/Source,69.675995
outbreak m type,Potential Vibrio vehicles,67.00247
other clone identification,Potential Vibrio vehicles,58.876747
household,Household Transmission,68.06292
childcare,Public Health Issues,69.786285
school,Administrative,68.01335
"other(s), specify",Partner Information,62.02311
place acquired,Local Fields,66.83021
comments,Comments,99.999985
brucellosis diagnosis,Diagnostic Testing,69.874664
episurv no.,Event,64.52414
name of public health officer responsible for case,Case Information,78.36212
reporting source,Reporting Entity/Reporting Facility,75.60613
name of reporting source,Reporting Entity/Reporting Facility,80.69496
organisation,Administrative,77.156654
date reported,Weekly Follow-up,64.15428
contact phone,Partner Information,67.007
usual gp,Traditional Healer,66.30224
practice,Traditional Healer,59.752296
gp phone,Surveillance Use Only,62.966217
gp/practice address,Partner Information,67.4236
name of case,Case Information,87.68533
nhi number,Reporting Entity/Reporting Facility,61.757786
patient e-mail,Clinical Information,77.26684
current address,Local Fields,63.456936
patient home phone number,Patient History,71.09871
patient work phone,Medical Encounters,68.9601
patient's other phone number,Patient History,71.977066
location,Partner Information,64.539856
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
patient occupation,Medical Encounters,80.32312
occupation location,Administrative,71.10917
name,Case Information,63.117123
address,Partner Information,65.42753
alternative location,Reporting Entity/Reporting Facility,60.61415
name,Case Information,63.117123
address,Partner Information,65.42753
ethnic group case belongs to,Case Information,72.00387
fits clinical description (acute or insidious onset of fever night sweats undue fatigue anorexia weight loss headache and arthralgia),Treatment/ Services referrals/ Case Diagnosis and Treatment,75.963684
meets laboratory criteria for disease,Diagnostic Testing,82.3855
isolation of brucella from clinical specimen,Maternal and Neonatal (e.g. Listeria forms),66.02019
detection of brucella nucleic acid from clinical specimen,Illness in Mother and Infant,63.712303
four-fold or greater rise in agglutination titre between acute and convalescent sera greater than or equal to 2 weeks apart,Diagnostic Testing,66.78654
by,,61.32248
contact with a laboratory-confirmed case,Laboratory Data,76.642654
classification,Comments,64.89292
species (specify),Maternal and Neonatal (e.g. Listeria forms),60.645927
date of onset,History of the disease,72.98946
hospitalised,Medical Encounters,71.58719
if patient died,Patient History,73.81041
was this disease the primary cause of death*,History of the disease,81.03845
is this case part of an outbreak (i.e. known to be linked to one or more other cases of the same disease)*,Illness in Mother and Infant,76.28552
occupational exposure to animals or animal products in 3 months before illness*,Epidemiological/Exposure Factors/ Exposure/Source,74.78339
consumption of unpasteurised milk or milk products in 3 months before illness*,Nutritious / Food consumption,73.36176
was the case overseas during the incubation period(range 5-60 days) for brucellosis,Illness in Mother and Infant,68.70514
last,Weekly Follow-up,62.560177
second last,Comments,60.459488
third last,Comments,60.698395
if the case has not been overseas recently is there any prior history of overseas travel that might account for this infection*,Illness in Mother and Infant,71.111206
other risk factors for disease,Epidemiological/Exposure Factors/ Exposure/Source,81.6141
case reported to ministry of health for coordination of notification and investigation with maf,Illness in Mother and Infant,75.75189
comments,Comments,99.999985
first name,Case Information,61.800117
surname,Case Information,63.159615
gender,Event,65.08886
address,Partner Information,65.42753
date of birth,Patient History,64.33852
town,Local Fields,67.25721
postcode,Partner Information,62.375153
phone,Call logs,66.341896
mobile,Comments,66.51685
patient indigenous status,Traditional Healer,74.9954
notifiable condition,Diagnostic Testing,61.59373
date of onset,History of the disease,72.98946
country where acquired,Partner Information,61.87072
workplace school childcare preschool or other institution attended,Administrative,65.308945
likely source of exposure,Epidemiological/Exposure Factors/ Exposure/Source,76.7384
specimen(s) taken,Laboratory Data,76.73198
laboratory,Laboratory Data,83.77396
test location when not conducted in a laboratory eg rapid antigen test (rat),Laboratory Data,70.95454
doctor’s name address and phone number (or stamp),Patient History,72.43834
signature,Comments,61.835636
hospital (where required for s.71 notification),Clinical Information,67.32052
date,Event,67.06779
vspb epi-number (assigned by cdc),Clinical Information,64.94821
state/local id,Local Fields,70.54751
dgmq id,Event,59.952103
state health department reporting case,Case Information,79.72258
date form completed (mm/dd/yyyy),Patient History,61.671513
person completing report,Reporting Entity/Reporting Facility,67.963
patient e-mail,Clinical Information,77.26684
phone number,Partner Information,62.679733
name of patient's physician,Patient History,78.68386
patient e-mail,Clinical Information,77.26684
phone number,Partner Information,62.679733
how was the case identified,Case Information,81.834496
current case classification,Case Information,79.117
sex,Comments,66.737495
date of birth,Patient History,64.33852
age,Comments,59.58798
race,Event,69.50713
ethnicity,Community Investigation,64.273766
is the patient a resident of the united states,Medical Encounters,72.69628
where is the patient’s u.s. residence,Patient History,72.355286
where is the patient’s non-u.s. residence,Medical Encounters,70.39217
what kind of work does the patient do (for example registered nurse janitor flight attendant),Medical Encounters,75.13395
what kind of business or industry does the patient work in (for example hospital clinic airline),Medical Encounters,76.8779
date of symptom onset (mm/dd/yy),History of the disease,71.78692
where was the patient when their symptoms first began,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.442154
has the patient experienced new onset of any of the following,Treatment/ Services referrals/ Case Diagnosis and Treatment,75.40565
bleeding type*,Potential Vibrio vehicles,63.130524
if patient is pregnant,Illness in Mother and Infant,73.82023
is patient breastfeeding,Illness in Mother and Infant,73.555695
has malaria testing been performed,Diagnostic Testing,71.97997
type of malaria test,Diagnostic Testing,73.57484
malaria test result,Diagnostic Testing,71.66082
what species was detected,Laboratory Data,70.41439
significant results of laboratory or other diagnostic testing,Diagnostic Testing,86.408745
did patient die from this illness or complications of this illness,History of the disease,77.570435
death details*,Case Information,68.90134
was an autopsy or other medical examination performed on the body,Medical Encounters,71.48173
what was the final disposition of the body,Case Information,64.21085
was patient hospitalized because of this event,Patient History,77.11695
dates of hospitalization,Patient History,78.67099
health facility name,Medical Encounters,70.405685
how was the patient transported to the health facility,Medical Encounters,71.57147
was the patient managed under isolation precautions,Medical Encounters,73.58713
if isolated describe,Diagnostic Testing,64.32755
additional case details/comments,Case Information,88.99522
did the patient travel to an ebola-affected country/region in the 3 weeks before becoming ill,History of the disease,67.56792
travel details*,Partner Information,67.0806
nature of travel,Cold Chain and Transport,65.032745
has the patient had contact with a symptomatic ebola case (suspect or confirmed) or ebola survivor in the 3 weeks before becoming ill,Patient History,71.65712
nature of contact with the suspect or confirmed case (mark all that apply),Case Information,71.567986
did the patient care for someone who was sick or died while in an ebola-affected country/region in the 3 weeks before becoming ill,Patient History,71.38108
nature of contact with the ill person (mark all that apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,73.80053
did the patient visit a healthcare facility or traditional healer (witch doctor) while in an ebola-affected country/region in the three weeks before becoming ill,Patient History,70.09826
name of health care facility,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.33938
location,Partner Information,64.539856
date arrived,Weekly Follow-up,63.15796
date departed,Event,62.84314
purpose of visit,Medical Encounters,69.0377
did the patient attend a funeral in an ebola-affected country/region in the 3 weeks before becoming ill,Illness in Mother and Infant,65.978615
where was the funeral,Event,62.163567
did the patient participate in burial practices (touch the body wash the body wash clothes of the deceased),History of the disease,71.94006
did the patient have any animal contact in an ebola-affected country/region in the 3 weeks before becoming ill,Epidemiological/Exposure Factors/ Exposure/Source,67.67485
what species of animal (check all that apply),Laboratory Data,62.712395
dates of contact,Patient History,68.866035
nature of contact with the animal,Medical Encounters,65.14967
did the animal display any symptoms of illness or was the animal dead,History of the disease,67.67852
did the patient consume any meat harvested from wild animals in an ebola-affected country/region in the 3 weeks before becoming ill,Epidemiological/Exposure Factors/ Exposure/Source,67.56467
date of last contact,Patient History,67.46268
specify type of animal,Nutritious / Food consumption,58.980476
did the patient work or spend time in a mine/cave in an ebola-affected country/region in the 3 weeks before becoming ill,Epidemiological/Exposure Factors/ Exposure/Source,69.55311
location,Partner Information,64.539856
date of last contact,Patient History,67.46268
where did the patient’s sample test positive for ebola virus (mark all that apply),Diagnostic Testing,70.05825
originating facility,Reporting Entity/Reporting Facility,66.340294
city,Event,65.33524
state,Local Fields,62.370808
point of contact,Medical Encounters,64.446304
phone number,Partner Information,62.679733
patient e-mail,Clinical Information,77.26684
where was the testing performed,Laboratory Data,80.36037
where is the laboratory located,Laboratory Data,75.374115
specimen id,Laboratory Data,71.43933
test performed (ex. biofire),Laboratory Data,76.089806
date of specimen collection,Laboratory Data,68.68269
date the test was performed,Diagnostic Testing,75.309784
test result,Diagnostic Testing,79.8088
originating facility,Reporting Entity/Reporting Facility,66.340294
city,Event,65.33524
state,Local Fields,62.370808
point of contact,Medical Encounters,64.446304
phone number,Partner Information,62.679733
patient e-mail,Clinical Information,77.26684
specimen id,Laboratory Data,71.43933
test performed,Diagnostic Testing,76.19656
date of specimen collection,Laboratory Data,68.68269
date the test was performed,Diagnostic Testing,75.309784
test result,Diagnostic Testing,79.8088
additional information,Case Information,70.56937
case id,Case Information,86.82826
classify case based on cdc case definition,Case Information,72.874466
sex,Comments,66.737495
state of residence,Local Fields,64.938965
county,Community Investigation,66.00082
age,Comments,59.58798
date of birth,Patient History,64.33852
ethnic origin,Traditional Healer,65.20926
race,Event,69.50713
physician's name,Medical Encounters,77.31173
phone,Call logs,66.341896
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
date of onset of illness / symptoms,History of the disease,77.70346
signs and symptoms,Diagnostic Testing,73.288
hospitalized (at least overnight),Clinical Information,69.14163
date stool collected for cyclospora testing,Laboratory Data,68.55239
test result(s),Diagnostic Testing,79.71937
results from state lab,Laboratory Data,78.84994
results from cdc lab,Laboratory Data,82.15816
has the case-patient been treated (or is he/she being treated) for cyclosporiasis,Treatment/ Services referrals/ Case Diagnosis and Treatment,74.57278
if yes what medication(s),Treatment/ Services referrals/ Case Diagnosis and Treatment,66.705086
is case-patient allergic to (or intolerant of) sulfa drugs,Treatment/ Services referrals/ Case Diagnosis and Treatment,68.66838
history of travel (during 2 weeks before onset of illness),Patient History,72.737656
international travel (country),Epidemiological/Exposure Factors/ Exposure/Source,56.849617
u.s. travel (state),Public Health Issues,58.413982
fresh berries,Nutritious / Food consumption,62.40562
type of fresh berries*,Nutritious / Food consumption,60.906498
fresh herbs,Traditional Healer,68.05413
type of fresh herbs*,Traditional Healer,64.27532
lettuce,Nutritious / Food consumption,64.41595
type of lettuce*,Nutritious / Food consumption,59.47488
other types,Maternal and Neonatal (e.g. Listeria forms),61.127724
type of fresh produce*,Nutritious / Food consumption,64.96056
did the case-patient attend any events,Case Information,78.969505
does the case-patient know of other ill persons,Clinical Information,76.942375
"if yes, did health department obtain contact information and investigate further (provide comments below)",Public Health Issues,70.13759
comments and additional data,Comments,77.720604
name (person filling out form),Partner Information,66.13778
title,Event,66.99352
phone,Call logs,66.341896
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
name of investigating health department,Public Health Issues,73.575165
date form submitted,Patient History,64.25427
state case no,Case Information,78.00715
csid no.,Case Information,61.868713
case no.,Case Information,77.42169
patient name (last first),Patient History,81.38717
date of symptom onset of this attack (mm/dd/yyyy),History of the disease,71.51567
age,Comments,59.58798
sex,Comments,66.737495
date of birth,Patient History,64.33852
if patient is pregnant,Illness in Mother and Infant,73.82023
height,,60.708435
weight,Nutritious / Food consumption,64.17378
ethnicity,Community Investigation,64.273766
race,Event,69.50713
physician name (last first),Clinical Information,73.64124
telephone number,Partner Information,63.126873
positive lab test result(check all that apply),Diagnostic Testing,75.135185
species,Comments,61.94179
parasitemia(%),Illness in Mother and Infant,69.864586
laboratory name,Laboratory Data,77.873215
telephone number,Partner Information,63.126873
state/territory reporting this case,Case Information,78.672646
county,Community Investigation,66.00082
patient admitted to hospital,Patient History,74.13819
hospital,Medical Encounters,77.350464
date,Event,67.06779
hospital record no.,Patient History,77.546486
specimens being sent to cdc,Laboratory Data,72.10269
type of specimen,Laboratory Data,75.355804
has the patient traveled or lived outside the u.s. during the past 2 years,Patient History,76.6011
travel details*,Partner Information,67.0806
