element,members
admitted date,"Admitted date, Date admitted"
has the case had a positive test for any other mosquito borne disease before,Has the case had a positive test for any other mosquito borne disease before
clinical comments,Clinical comments
doctor/hospital/laboratory name,Doctor/hospital/laboratory name
medicare provider no.,Medicare provider No.
fax,Fax
did the case travel outside the melbourne metropolitan area in the 3�21 days before becoming unwell with this illness (include travel within regional victoria),Did the case travel outside the melbourne metropolitan area in the 3�21 days before becoming unwell with this illness (include travel within regional victoria)
did the case spend time in parklands (e.g. state or national parks) within melbourne in the 3�21 days before becoming unwell,Did the case spend time in parklands (e.g. State or national parks) within melbourne in the 3�21 days before becoming unwell
case name,"Case name, Case Name"
notification id,Notification ID
public health unit,Public health unit
outbreak id,Outbreak ID
completed by,Completed by
date sent to nocs,Date sent to NOCS
date phu notified,Date PHU notified
date initial response,Date initial response
notifier,Notifier
treating dr.,Treating Dr.
ur no.,UR No.
name of parent/carer,Name of parent/carer
english preferred language,English preferred language
home telephone,Home telephone
mob,Mob
work telephone,Work telephone
temporary address in queensland (if different from permanent address),Temporary address in queensland (if different from permanent address)
general practitioner dr.,"General practitioner Dr, General practitioner Dr."
date of first consultation,Date of first consultation
is this a relapse of a previous infection,Is this a relapse of a previous infection
steroid treatment,Steroid treatment
type of specimen,"Type of specimen, Type of specimen*"
test type,"Test type, Test Type"
organism identified,Organism identified
has there been any previous brucellosis testing,Has there been any previous brucellosis testing
date (onset date-60 days to onset date-5 days),Date (onset date-60 days to onset date-5 days)
patient�s occupation,Patient�s occupation
work place name,Work place name
work section (i.e boning room),Work section (i.e boning room)
workplace address,Workplace address
did the patient have contact with,Did the patient have contact with
consumed unpasteurised milk or milk products,Consumed unpasteurised milk or milk products
has the patient imported an animal product from overseas in the last 2 months,Has the patient imported an animal product from overseas in the last 2 months
was the case interstate or overseas in the last 2 months,Was the case interstate or overseas in the last 2 months
date of travel,Date of travel
places visited,Places visited
during this time was there contact with confirmed/suspected case(s),During this time was there contact with confirmed/suspected case(s)
are there other contacts who have had the same exposure,Are there other contacts who have had the same exposure
if the infection is workplace acquired has the occupational health and safety officer been advised,If the infection is workplace acquired has the occupational health and safety officer been advised
have they been advised of preventive measures and symptoms,Have they been advised of preventive measures and symptoms
would you like assistance from the public health unit in this area,Would you like assistance from the public health unit in this area
place acquired,Place acquired
notification decision,Notification decision
notification of,Notification of
hemorrhagic,Hemorrhagic
neuroinvasive,Neuroinvasive
treatment commenced,Treatment commenced
first collection date,First collection date
lab no.,Lab No.
virus specific igm,Virus specific IgM
igg (fourfold or greater rise) results,IgG (fourfold or greater rise) results
isolation of virus,Isolation of virus
detection of virus by pcr,Detection of virus by PCR
detection of virus in tissue/liver histopathology/immunohistochemistry(yellow fever),Detection of virus in tissue/liver histopathology/immunohistochemistry(yellow fever)
dose 1,Dose 1
dose 2,Dose 2
dose 3,Dose 3
vaccination status,Vaccination status
source of vaccination history,Source of vaccination history
exposure period,Exposure period
was the case interstate or overseas 10 days prior to fever onset,Was the case interstate or overseas 10 days prior to fever onset
home address,Home address
work address,Work address
other significant address,Other significant address
viraemic period,Viraemic period
other main address,Other main address
work during this period,Work during this period
precautions discussed,Precautions discussed
fact sheet sent,Fact sheet sent
contact management required,Contact management required
onset date,"Onset date, Date onset"
impetigo/skin lesions,Impetigo/skin lesions
sore throat,Sore throat
scabies,Scabies
haematuria,Haematuria
serum,Serum
exposure period to group a streptococci,Exposure period to group a streptococci
number of other recent skin infection cases in household,Number of other recent skin infection cases in household
did case attend any of the following during their exposure period,Did case attend any of the following during their exposure period
infectious period for group a streptococci,Infectious period for group a streptococci
antibiotics treatment commenced,Antibiotics treatment commenced
scabies treatment of case,Scabies treatment of case
scabies treatment of household/s,Scabies treatment of household/s
details,Details
if stayed in additional household,If stayed in additional household
did case attend any of the following during their infectious period,Did case attend any of the following during their infectious period
was the case excluded from childcare/ school/ other high risk setting,Was the case excluded from childcare/ school/ other high risk setting
part of an outbreak,Part of an outbreak
outbreak identifier,Outbreak identifier
outbreak m type,Outbreak m type
other clone identification,Other clone identification
household,Household
childcare,Childcare
school,School
brucellosis,"Brucellosis, Brucellosis*"
episurv no.,EpiSurv No.
name of public health officer responsible for case,Name of public health officer responsible for case
reporting source,Reporting source
name of reporting source,Name of reporting source
date reported,Date reported
usual gp,Usual GP
practice,Practice
gp phone,GP phone
gp/practice address,GP/practice address
name of case,Name of case
nhi number,NHI number
phone (work),"Phone (work), Work phone"
other phone,"Phone (other), Other phone"
location,Location
occupation location,Occupation location
alternative location,Alternative location
ethnic group case belongs to,Ethnic group case belongs to
fits clinical description (acute or insidious onset of fever night sweats undue fatigue anorexia weight loss headache and arthralgia),Fits clinical description (acute or insidious onset of fever night sweats undue fatigue anorexia weight loss headache and arthralgia)
meets laboratory criteria for disease,Meets laboratory criteria for disease
isolation of brucella from clinical specimen,Isolation of brucella from clinical specimen
detection of brucella nucleic acid from clinical specimen,Detection of brucella nucleic acid from clinical specimen
four-fold or greater rise in agglutination titre between acute and convalescent sera greater than or equal to 2 weeks apart,Four-fold or greater rise in agglutination titre between acute and convalescent sera greater than or equal to 2 weeks apart
by,By
contact with a laboratory-confirmed case,Contact with a laboratory-confirmed case
species (specify),Species (specify)
died,"Died, Died?"
was this disease the primary cause of death*,Was this disease the primary cause of death*
is this case part of an outbreak (i.e. known to be linked to one or more other cases of the same disease)*,Is this case part of an outbreak (i.e. Known to be linked to one or more other cases of the same disease)*
occupational exposure to animals or animal products in 3 months before illness*,Occupational exposure to animals or animal products in 3 months before illness*
consumption of unpasteurised milk or milk products in 3 months before illness*,Consumption of unpasteurised milk or milk products in 3 months before illness*
was the case overseas during the incubation period(range 5-60 days) for brucellosis,Was the case overseas during the incubation period(range 5-60 days) for brucellosis
last,Last
second last,Second last
third last,Third last
if the case has not been overseas recently is there any prior history of overseas travel that might account for this infection*,If the case has not been overseas recently is there any prior history of overseas travel that might account for this infection*
other risk factors for disease,Other risk factors for disease
case reported to ministry of health for coordination of notification and investigation with maf,Case reported to ministry of health for coordination of notification and investigation with MAF
town,Town
notifiable condition,Notifiable condition
country where acquired,Country where acquired
workplace school childcare preschool or other institution attended,Workplace school childcare preschool or other institution attended
likely source of exposure,Likely source of exposure
specimen(s) taken,Specimen(s) taken
test location when not conducted in a laboratory eg rapid antigen test (rat),Test location when not conducted in a laboratory eg rapid antigen test (rat)
doctor�s name address and phone number (or stamp),Doctor�s name address and phone number (or stamp)
hospital (where required for s.71 notification),Hospital (where required for s.71 notification)
vspb epi-number (assigned by cdc),VSPB EPI-NUMBER (assigned by CDC)
state/local id,State/local ID
dgmq id,DGMQ ID
state health department reporting case,"State health department reporting case, State Health Department reporting case"
date form completed (mm/dd/yyyy),"Date form completed (MM/DD/YYYY), Date Form Completed (MM/DD/YYYY)"
person completing report,"Person completing report, Person completing Report"
name of patient's physician,"Name of patient�s physician, Name of patient's physician"
how was the case identified,How was the case identified
current case classification,Current case classification
is the patient a resident of the united states,Is the patient a resident of the united states
where is the patient�s u.s. residence,Where is the patient�s U.S. Residence
where is the patient�s non-u.s. residence,Where is the patient�s non-U.S. Residence
what kind of work does the patient do (for example registered nurse janitor flight attendant),What kind of work does the patient do (For example registered nurse janitor flight attendant)
what kind of business or industry does the patient work in (for example hospital clinic airline),What kind of business or industry does the patient work in (For example hospital clinic airline)
date of symptom onset (mm/dd/yyyy),"Date of symptom onset (MM/DD/YYYY), Date of onset symptoms (MM/DD/YYYY), Date of symptom onset (mm/dd/yy)"
where was the patient when their symptoms first began,Where was the patient when their symptoms first began
has the patient experienced new onset of any of the following,Has the patient experienced new onset of any of the following
bleeding type*,Bleeding type*
is patient pregnant,"Is patient pregnant, Is the patient pregnant, Is patient pregnant?"
is patient breastfeeding,Is patient breastfeeding
has malaria testing been performed,Has Malaria testing been performed
type of malaria test,Type of Malaria test
malaria test result,Malaria test result
what species was detected,What species was detected
significant results of laboratory or other diagnostic testing,Significant results of laboratory or other diagnostic testing
did patient die from this illness or complications of this illness,Did patient die from this illness or complications of this illness
death details*,Death details*
was an autopsy or other medical examination performed on the body,Was an autopsy or other medical examination performed on the body
what was the final disposition of the body,What was the final disposition of the body
was patient hospitalized because of this event,Was patient hospitalized because of this event
dates of hospitalization,Dates of hospitalization
health facility name,Health facility name
how was the patient transported to the health facility,How was the patient transported to the health facility
was the patient managed under isolation precautions,Was the patient managed under isolation precautions
if isolated describe,If isolated describe
additional case details/comments,Additional case details/comments
did the patient travel to an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient travel to an Ebola-affected country/region in the 3 weeks before becoming ill
travel details*,Travel details*
nature of travel,Nature of travel
has the patient had contact with a symptomatic ebola case (suspect or confirmed) or ebola survivor in the 3 weeks before becoming ill,Has the patient had contact with a symptomatic Ebola case (suspect or confirmed) or Ebola survivor in the 3 weeks before becoming ill
nature of contact with the suspect or confirmed case (mark all that apply),Nature of contact with the suspect or confirmed case (mark all that apply)
did the patient care for someone who was sick or died while in an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient care for someone who was sick or died while in an Ebola-affected country/region in the 3 weeks before becoming ill
nature of contact with the ill person (mark all that apply),Nature of contact with the ill person (mark all that apply)
did the patient visit a healthcare facility or traditional healer (witch doctor) while in an ebola-affected country/region in the three weeks before becoming ill,Did the patient visit a healthcare facility or traditional healer (witch doctor) while in an Ebola-affected country/region in the three weeks before becoming ill
name of healthcare facility,"Name of healthcare facility, Name of health care facility, Name of healthcare facility 1, Name of healthcare facility 2"
date arrived,Date arrived
date departed,Date departed
purpose of visit,Purpose of visit
did the patient attend a funeral in an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient attend a funeral in an Ebola-affected country/region in the 3 weeks before becoming ill
where was the funeral,Where was the funeral
did the patient participate in burial practices (touch the body wash the body wash clothes of the deceased),Did the patient participate in burial practices (touch the body wash the body wash clothes of the deceased)
did the patient have any animal contact in an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient have any animal contact in an Ebola-affected country/region in the 3 weeks before becoming ill
what species of animal (check all that apply),What species of animal (check all that apply)
date of contact,"Dates of contact, Date of contact"
nature of contact with the animal,Nature of contact with the animal
did the animal display any symptoms of illness or was the animal dead,Did the animal display any symptoms of illness or was the animal dead
did the patient consume any meat harvested from wild animals in an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient consume any meat harvested from wild animals in an Ebola-affected country/region in the 3 weeks before becoming ill
date of last contact,"Date of last contact, Date of Last Contact"
specify type of animal,Specify type of animal
did the patient work or spend time in a mine/cave in an ebola-affected country/region in the 3 weeks before becoming ill,Did the patient work or spend time in a mine/cave in an Ebola-affected country/region in the 3 weeks before becoming ill
where did the patient�s sample test positive for ebola virus (mark all that apply),Where did the patient�s sample test positive for Ebola virus (Mark all that apply)
originating facility,Originating facility
point of contact,Point of contact
where was the testing performed,Where was the testing performed
where is the laboratory located,Where is the laboratory located
test performed (ex. biofire),Test performed (ex. Biofire)
date the test was performed,Date the test was performed
test result(s),"Test result, Test results, Test result(s)"
test performed,Test performed
classify case based on cdc case definition,Classify case based on CDC case definition
state of residence,"State of residence, State of Residence"
ethnic origin,Ethnic origin
date of onset of illness / symptoms,Date of onset of illness / symptoms
hospitalized (at least overnight),Hospitalized (at least overnight)
date stool collected for cyclospora testing,Date stool collected for cyclospora testing
results from state lab,Results from state lab
results from cdc lab,Results from CDC lab
has the case-patient been treated (or is he/she being treated) for cyclosporiasis,Has the case-patient been treated (or is he/she being treated) for cyclosporiasis
if yes what medication(s),If yes what medication(s)
is case-patient allergic to (or intolerant of) sulfa drugs,Is case-patient allergic to (or intolerant of) sulfa drugs
history of travel (during 2 weeks before onset of illness),History of travel (during 2 weeks before onset of illness)
international travel (country),International travel (country)
u.s. travel (state),U.S. Travel (state)
fresh berries,Fresh berries
type of fresh berries*,Type of fresh berries*
fresh herbs,Fresh herbs
type of fresh herbs*,Type of fresh herbs*
lettuce,Lettuce
type of lettuce*,Type of lettuce*
other types,Other types
type of fresh produce*,Type of fresh produce*
did the case-patient attend any events,Did the case-patient attend any events
does the case-patient know of other ill persons,Does the case-patient know of other ill persons
"if yes, did health department obtain contact information and investigate further (provide comments below)","If yes, did health department obtain contact information and investigate further (provide comments below)"
comments and additional data,Comments and additional data
name (person filling out form),Name (person filling out form)
name of investigating health department,Name of investigating health department
date form submitted,Date form submitted
state case no,State case no
csid no.,CSID No.
patient name (last first),Patient name (last first)
date of symptom onset of this attack (mm/dd/yyyy),Date of symptom onset of this attack (MM/DD/YYYY)
height,Height
weight,Weight
physician name (last first),Physician name (last first)
positive lab test result(check all that apply),Positive lab test result(check all that apply)
species,Species
parasitemia(%),Parasitemia(%)
state/territory reporting this case,State/territory reporting this case
patient admitted to hospital,"Patient admitted to hospital, Was patient admitted to hospital"
hospital record no.,Hospital record No.
specimens being sent to cdc,Specimens being sent to CDC
has the patient traveled or lived outside the u.s. during the past 2 years,Has the patient traveled or lived outside the U.S. During the past 2 years
did patient reside in u.s. prior to most recent travel,Did patient reside in U.S. Prior to most recent travel
principal reason for travel from/ to u.s. for most recent trip,Principal reason for travel from/ to U.S. For most recent trip
was malaria chemoprophylaxis taken,Was Malaria chemoprophylaxis taken
type of drug,Type of drug
was chemoprophylaxis taken as prescribed,Was chemoprophylaxis taken as prescribed
"if doses were missed, what was the reason","If doses were missed what was the reason, If doses were missed, what was the reason"
history of malaria in last 12 months (prior to this report),History of Malaria in last 12 months (prior to this report)
date of previous illness,Date of previous illness
if yes species (check all that apply),If yes species (check all that apply)
blood transfusion/organ transplant within last 12 months,Blood transfusion/organ transplant within last 12 months
clinical complications,Clinical complications
was illness fatal,Was illness fatal
therapy for this attack (check all that apply),Therapy for this attack (check all that apply)
person submitting report,Person submitting report
affiliation,Affiliation
date submitted,Date submitted
please list all prescription and over the counter medicines the patient had taken during the 2 weeks before starting their treatment for malaria.,Please list all prescription and over the counter medicines the patient had taken during the 2 weeks before starting their treatment for Malaria.
please list all prescription and over the counter medicines the patient had taken during the 4 weeks after starting their treatment for malaria.,Please list all prescription and over the counter medicines the patient had taken during the 4 weeks after starting their treatment for Malaria.
was the medicine for malaria treatment taken as prescribed,"Was the medicine for Malaria treatment taken as prescribed, Was the medicine for malaria treatment taken as prescribed"
did all signs or symptoms of malaria resolve without any additional malaria treatment within 7 days after treatment start,"Did all signs or symptoms of Malaria resolve without any additional Malaria treatment within 7 days after treatment start, Did all signs or symptoms of malaria resolve without any additional malaria treatment within 7 days after treatment start"
if yes did the patient experience a recurrence of signs or symptoms of malaria during the 4 weeks after starting malaria treatment,If yes did the patient experience a recurrence of signs or symptoms of Malaria during the 4 weeks after starting Malaria treatment
did the patient experience any adverse events within 4 weeks after receiving the malaria treatment,Did the patient experience any adverse events within 4 weeks after receiving the Malaria treatment
event details*,Event details*
medical chart no.,Medical chart No.
"state, zip","State, Zip"
hospital name,Hospital name
state case id,"State case ID, State Case ID"
physician,Physician
investigator,Investigator
netss id no. (mm/dd/yyyy),NETSS ID No. (MM/DD/YYYY)
date reported (mm/dd/yyyy),Date reported (MM/DD/YYYY)
disease presentation,Disease presentation
symptoms signs and associated diagnoses,Symptoms signs and associated diagnoses
was the case hospitalized because of this illness,Was the case hospitalized because of this illness
is the case deceased,Is the case deceased
treatment and duration,Treatment and duration
type of treatment*,Type of treatment*
in the 6 months prior to illness onset did the case travel outside state of residence,In the 6 months prior to illness onset did the case travel outside state of residence
have contact with animals,Have contact with animals
birthing/animal products,Birthing/animal products
skinning/slaughter,Skinning/slaughter
hunting,Hunting
other,"Other, OTHER, Other 1, Other 2, Other 3"
who owns the animal(s),Who owns the animal(s)
consume unpasteurized dairy or undercooked meat,Consume unpasteurized dairy or undercooked meat
milk,Milk
fresh/soft cheese,Fresh/soft cheese
undercooked meat,Undercooked meat
in what country was the product acquired,In what country was the product acquired
have a link to a confirmed case,Have a link to a confirmed case
know of similar illness in contact,Know of similar illness in contact
who,Who
have an exposure to a brucella,Have an exposure to a brucella
where did the exposure occur,Where did the exposure occur
exposure risk status,Exposure risk status
if exposed to vaccine indicate which,If exposed to vaccine indicate which
receive post-exposure prophylaxis (pep),Receive post-exposure prophylaxis (PEP)
if no. why not,If No. why not
if yes did case complete course,If yes did case complete course
case status,Case status
received from,Received from
date received,"Date received, Date Received"
agglutination test,Agglutination test
elisa,ELISA
date sample collected,Date sample collected
rose bengal,Rose Bengal
coombs igg,Coombs IgG
culture,Culture
was the specimen for culture collected prior to antimicrobial therapy,Was the specimen for culture collected prior to antimicrobial therapy
if culture positive was the identification of a select agent reported to cdc,If culture positive was the identification of a select agent reported to CDC
did a possible laboratory exposure occur,Did a possible laboratory exposure occur
if yes was it reported to cdc,If yes was it reported to CDC
were specimens sent to cdc for testing,Were specimens sent to CDC for testing
is the specimen still available,Is the specimen still available
nndss case id,NNDSS case ID
state id,State ID
if hispanic,If hispanic
residence at time of disease onset,Residence at time of disease onset
domestic,Domestic
international,International
large gatherings attended in the year before onset,Large gatherings attended in the year before onset
known epidemiologic link with any other meningococcal disease case,Known epidemiologic link with any other meningococcal disease case
was susceptibility testing done at the hospital state or other laboratory,Was susceptibility testing done at the hospital state or other laboratory
source of test data,Source of test data
test method,Test method
ceftriaxone,Ceftriaxone
penicillin,Penicillin
ciprofloxacin,Ciprofloxacin
rifampin,Rifampin
�-lactamase phenotypic test,?-lactamase Phenotypic test
what treatment was given,What treatment was given
how many close contacts were given chemoprophylaxis,How many close contacts were given chemoprophylaxis
what antibiotic was used and for how many contacts,What antibiotic was used and for how many contacts
clinical presentation,Clinical presentation
underlying conditions,"Underlying conditions, Underlying conditions*"
sequelae,Sequelae
agency,Agency
other case notes,Other case notes
initial diagnosis,Initial diagnosis
case number,Case number
province/state,"Province/state, Province/State"
municipality,Municipality
locality/neighborhood,Locality/neighborhood
health service name,Health service name
health service telephone,Health service telephone
date reported local,Date reported local
date of home visit,Date of home visit
date reported national,Date reported national
detected by,Detected by
type of provider reporting,Type of provider reporting
patient�s first and last names,Patient�s first and last names
name of the mother or guardian,Name of the mother or guardian
landmarks to locate the house,Landmarks to locate the house
work or school address,Work or school address
type of locality,Type of locality
patient�s sex,Patient�s sex
if date of birth is unknown age,If date of birth is unknown age
source of vaccination information,Source of vaccination information
death,Death
specimen number,Specimen number
date specimen obtained,Date specimen obtained
date specimen was sent to lab,Date specimen was sent to lab
specimen id in lab.,Specimen ID in lab.
type of test,"Type of test, Type of Test"
antigen,Antigen
date of result(s),"Date of results, Date of Result"
if virus was detected specify viral genotype,If virus was detected specify viral genotype
were active case-searches conducted,Were active case-searches conducted
was the patient in contact with any pregnant woman,Was the patient in contact with any pregnant woman
are there other cases present in the case�s municipality of residence,Are there other cases present in the case�s municipality of residence
did the patient travel outside his/her province/state of residence 7-23 days before rash onset,Did the patient travel outside his/her Province/state of residence 7-23 days before rash onset
setting where infected,Setting where infected
ring vaccination,Ring vaccination
was rapid coverage monitoring done,Was rapid coverage monitoring done
were the contacts followed for up to 30 days after the date of the rash onset of the case,Were the contacts followed for up to 30 days after the date of the rash onset of the case
basis for confirmation,Basis for confirmation
basis for discarding:,Basis for Discarding:
for confirmed cases source of infection,For confirmed cases source of infection
country of importation,Country of importation
contact of another case,Contact of another case
contact of (or epidemiologically-linked to) case number,Contact of (or Epidemiologically-linked to) case number
classified by,Classified by
date of final classification,Date of final classification
mi,"M.I., MI"
patient street address,Patient street address
apt/unit number,Apt/unit number
city/town,City/town
did the patient exhibit signs/symptoms at time of test,Did the patient exhibit signs/symptoms at time of test
hiv tested at this visit,HIV tested at this visit
patient on prep,"Patient on prep, Patient on PrEP"
specimen collection date,"Specimen collection date, Specimen Collection Date"
source,Source
ept given,EPT given
treatment date(s),"Treatment date, Treatment Date, Treatment Date(s)"
alternative regimens,Alternative regimens
diagnosed by,Diagnosed by
facility/clinic name,"Facility/clinic name, Facility/Clinic Name"
facility/clinic address,"Facility/clinic address, Facility/Clinic Address"
reported by(if different from diagnosed by),Reported by(if different from diagnosed by)
office telephone,Office telephone
office fax,Office fax
middle initial,"Middle initial, Middle Initial"
transgender,Transgender
patient�s street address (enter patient�s street address only),Patient�s street address (enter patient�s street address only)
apartment number,Apartment number
gender of sex partner(s),"Gender of sex partners, Gender of Sex Partner(s), Gender of sex partner(s)"
describe symptoms,"Describe any symptoms, Describe symptoms"
syphilis (s),Syphilis (S)
chlamydia (ct) and/or gonorrhea (gc),Chlamydia (CT) and/or gonorrhea (GC)
chancroid,Chancroid
non-ct/gc pid,Non-CT/GC PID
specimen source (cervix vaginal urethra blood urine throat rectum etc.),Specimen source (cervix vaginal urethra blood urine throat rectum etc.)
date specimen collected (mm/dd/yyyy),Date specimen collected (MM/DD/YYYY)
date specimen analyzed (mm/dd/yyyy),Date specimen analyzed (MM/DD/YYYY)
name of attending physician or provider ordering test,Name of attending physician or provider ordering test
name of laboratory performing test(s),Name of laboratory performing test(s)
patient treated,Patient treated
date(s) of treatment (mm/dd/yyyy),Date(s) of treatment (MM/DD/YYYY)
hiv status,"HIV status, HIV Status"
date reported to lthd (mm/dd/yyyy),Date reported to LTHD (MM/DD/YYYY)
treatment (rx) information,Treatment (RX) information
ept provided for partner(s),EPT provided for partner(s)
type of ept*,Type of EPT*
agency reporting,"Agency reporting, Agency Reporting"
city state and zip code,City state and ZIP code
local and tribal health department (lthd),Local and Tribal Health Department (LTHD)
date received by lthd (mm/dd/yyyy),Date received by LTHD (MM/DD/YYYY)
comments (including additional treatment dates),Comments (including additional treatment dates)
home phone number,Home phone number
other phone number,Other phone number
marital status,"Marital status, Marital Status"
sex of partners,"Sex of partners, Sex of Partners"
insurance status,Insurance status
gonorrhea or chlamydia,Gonorrhea or chlamydia
syphilis,"Syphilis, Syphilis**"
other stds,Other STDs
partner notification services,Partner notification services
treatment information,Treatment information
test date,Test date
reporting laboratory,Reporting laboratory
results or attach lab report,Results or attach lab report
name of person reporting (if different than above),Name of person reporting (if different than above)
name of hospital or facility,Name of hospital or facility
patient's current status*,Patient's current status*
sendss id,SENDSS ID
form complete,Form complete
age (enter age and check one),Age (enter age and check one)
"address: number, street","Address: number, street"
ethnicity (check one),Ethnicity (check one)
race (check all that apply),Race (check all that apply)
medical record no. or client no.,Medical record No. or client No.
state case id (for state use only),State case ID (for state use only)
date reported to health department (mm/dd/yy),Date reported to health department (MM/DD/YY)
date investigation started,Date investigation started
person reporting,Person reporting
reporter telephone,Reporter telephone
case investigator completing form,Case investigator completing form
investigator phone,Investigator phone
event date,Event date
event type,Event type
rash,Rash
rash onset date,Rash onset date
rash duration,Rash duration
generalized rash,Generalized rash
origin on body,Origin on body
direction of spread,Direction of spread
was temperature taken,Was temperature taken
fever,Fever
fever onset date,Fever onset date
highest recorded temperature,Highest recorded temperature
if temperature not taken skin was,If temperature not taken skin was
cough,Cough
coryza,Coryza
conjunctivitis,Conjunctivitis
koplik's spots,Koplik's spots
other symptoms,Other symptoms
describe additional symptoms,Describe additional symptoms
does case meet clinical criteria for further investigation,Does case meet clinical criteria for further investigation
case meets cdc/cste clinical criteria (for state use only ),Case meets CDC/CSTE clinical criteria (For state use only )
number of days hospitalized,Number of days hospitalized
encephalitis,Encephalitis
other complications,Other complications
describe additional complications,Describe additional complications
was laboratory testing for measles done,Was laboratory testing for Measles done
case lab confirmed (for state use only),Case lab confirmed (for state use only)
virus isolated,"Virus isolated, Virus isolated?"
igg (acute),IgG (acute)
igg (convalescent),IgG (convalescent)
igm,IgM
specimen sent to cdc for genotyping,Specimen sent to CDC for genotyping
date sent to cdc,Date sent to CDC
virus genotype,Virus genotype
no. doses of measles-containing vaccine received prior to illness onset,No. doses of measles-containing vaccine received prior to illness onset
prior md diagnosis of measles,Prior MD diagnosis of Measles
reason patient not age-appropriately vaccinated,Reason patient not age-appropriately vaccinated
date first reported to public health,Date first reported to public health
epi-linked,Epi-linked
name of epi-linked case,Name of epi-linked case
sendss id of epi-linked case,SENDSS ID of Epi-linked case
outbreak related,Outbreak related
outbreak name or location,Outbreak name or location
employed at or attends school,Employed at or attends school
employed at or attendees child care,Employed at or attendees child care
is patient incarcerated,Is patient incarcerated
is patient institutionalized,Is patient institutionalized
is patient immunocompromised,Is patient immunocompromised
recent travel or arrival from other country or state within 18 days of rash onset,Recent travel or arrival from other country or state within 18 days of rash onset
type of travel,Type of travel
visited tourist attraction,"Visited tourist attraction, Tourist attraction visited"
countries or states visited,Countries or states visited
dates in countries or states visited,Dates in countries or states visited
date returned to georgia,Date returned to Georgia
close contact with person(s) with rash 8-17 days before rash onset,Close contact with person(s) with rash 8-17 days before rash onset
details of contact with person(s)*,Details of Contact with person(s)*
transmission setting (where did this case acquire pertussis),Transmission setting (where did this case acquire pertussis)
setting of further documented spread from case (outside of household) (use number codes from transmission setting question above),Setting of further documented spread from case (outside of household) (use number codes from transmission setting question above)
import status,Import status
"if case is indigenous, is case","If case is indigenous, is case"
"if case is imported, describe source","If case is imported, describe source"
number of susceptible contacts,Number of susceptible contacts
legal last name,Legal last name
legal first name,Legal first name
preferred name (if different than legal name),Preferred name (if different than legal name)
address (number and street),Address (number and street)
city/state/zip,"City/state/ZIP, City/State/Zip, City, State, Zip"
health insurance,Health insurance
type of disease*,Type of disease*
specimen source,"Specimen source, Specimen Source"
treatment,"Treatment, Treatment 1*, Treatment 2*"
treatment regimen,Treatment regimen
does patient have sex with,Does patient have sex with
were patient�s partners notified of exposure,Were patient�s partners notified of exposure
treatment given for patient�s partners,Treatment given for patient�s partners
syphilis please report all positive test results and negative reflex test results.,Syphilis please report all positive test results and negative reflex test results.
non-treponemal test(s),"Non-treponemal tests, Non-treponemal Test"
eia igg,EIA IgG
tppa,TPPA
fta,FTA
treatment regimen (including dosage),Treatment regimen (including dosage)
ordering provider,Ordering provider
provider facility,Provider facility
date of report,"Date of report, Date of Report"
patient's residence,Patient's residence
number of vaccine doses received,Number of vaccine doses received
person completing name,Person completing name
city/town/ village,City/town/ village
nearest health facility (phu),Nearest health facility (PHU)
patient�s name(s),Patient�s name(s)
case notified by,Case notified by
no. of valid measles doses,No. of valid Measles doses
date of last measles vaccination,Date of last Measles vaccination
date specimen received by lab,Date specimen received by lab
date results received by epi,Date results received by EPI
indirect igm measles,Indirect IgM Measles
rubtest rubella igm,Rubtest rubella IgM
if measles igm capture positive was community investigation done if yes describe result of the investigation,If Measles IgM capture positive was community investigation done If yes describe result of the investigation
investigation result,Investigation result
father�s name,Father�s name
mother vaccinated with tt number of doses,Mother vaccinated with TT number of doses
1st dose,1st Dose
2nd dose,2nd Dose
3rd dose,3rd Dose
"if greater than 5, date of last dose","If greater than 5, Date of Last dose"
attended by doctor or nurse,Attended by doctor or nurse
attended by trained tba or midwife,Attended by trained TBA or midwife
baby have normal cry and suck during first 2 days,Baby have normal cry and suck during first 2 days
age of onset,Age of onset
baby died,Baby died
health facility address,Health facility address
lactating,Lactating
level of education,"Level of education, Level of Education"
work/occupation,"Work/occupation, Work/Occupation"
workplace/nursery/school/college name,"Workplace/nursery/school/college name, Workplace/Nursery/School/College Name"
workplace/nursery/school/college physical address,"Workplace/nursery/school/college physical address, WorkPlace/Nursery/School/College Physical Address, Workplace/Nursery/School/College Physical Address"
workplace/nursery/school/college village/town/city,"Workplace/nursery/school/college village/town/city, Workplace/Nursery/School/College Village/Town/City"
workplace/nursery/school/college contact phone,"Workplace/nursery/school/college contact phone, Workplace/Nursery/School/College Contact Phone"
name of parent/guardian/next of kin,"Name of parent/guardian/next of kin, Name of Parent/Guardian/Next of Kin"
current residential coordinates,"Current residential coordinates, Current Residential Coordinates"
was this case/condition/event detected by a health worker,"Was this case/condition/event detected by a health worker, Was this case/condition/event detected by a health worker?"
where was the case/condition/event detected,"Where was the case/condition/event detected, Where was the case/condition/event detected?"
location where symptom started (address),"Location where symptom started (address), Location where symptom started (Address)"
